id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano
1623020646,c8d6bc6c-bae0-3967-9407-948b456a95aa,-10.76288,-37.06391,2023-03-09 16:24:00,Brasil,SERGIPE,SANTO AMARO DAS BROTAS,Mata Atlântica,2023
1623205080,adf8fa10-ae57-3431-89d8-59706cdc56b9,-11.03801,-37.99591,2023-03-11 16:11:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2023
1623205081,89fba8d6-132c-3154-acdd-38ccb4ff9abe,-11.2345,-37.57104,2023-03-11 16:11:00,Brasil,SERGIPE,ARAUÁ,Mata Atlântica,2023
1623664358,bfbf0dea-fb23-3382-9adb-d3d39addbb0c,-10.76826,-37.62625,2023-03-16 16:26:00,Brasil,SERGIPE,LAGARTO,Caatinga,2023
1623664359,2ed6d4b7-427d-37b1-92d1-7da9a944d4fb,-11.02582,-38.06229,2023-03-16 16:26:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2023
1623664363,b2d26b7a-a14d-3e8d-ba43-0f374f09bf9b,-11.26644,-37.37523,2023-03-16 16:26:00,Brasil,SERGIPE,ESTÂNCIA,Mata Atlântica,2023
1624298576,6fab2a9e-1c30-3616-aad4-ad58e1ea9137,-10.77106,-37.49071,2023-03-23 16:26:00,Brasil,SERGIPE,CAMPO DO BRITO,Mata Atlântica,2023
1624945882,f1a3357e-287f-3d6d-9cca-a682424fcac0,-10.19597,-36.97543,2023-03-28 16:41:00,Brasil,SERGIPE,CANHOBA,Mata Atlântica,2023
1626784710,62978cc8-abcb-3974-899d-57c435c6fb26,-10.77499,-37.62577,2023-04-12 15:46:00,Brasil,SERGIPE,LAGARTO,Caatinga,2023
1626784711,92500c02-a990-398f-98e7-bbdb4260cec9,-10.78374,-37.62045,2023-04-12 15:46:00,Brasil,SERGIPE,LAGARTO,Caatinga,2023
1627105549,6b0c5425-ec0c-3f11-8452-cd8dd35f8581,-10.48618,-37.29102,2023-04-15 16:16:00,Brasil,SERGIPE,NOSSA SENHORA DAS DORES,Mata Atlântica,2023
1627105550,bdf532ec-ac9b-32dd-a890-76769160862b,-11.05432,-37.34231,2023-04-15 16:16:00,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlântica,2023
1627105551,2b5a6f28-8191-3859-b12c-a6fd0531f78b,-11.05568,-37.35217,2023-04-15 16:16:00,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlântica,2023
1627105653,39b20775-b9a6-36b6-9472-f6a1ad5fa2f5,-10.05842,-37.7709,2023-04-15 16:16:00,Brasil,SERGIPE,MONTE ALEGRE DE SERGIPE,Caatinga,2023
1627105935,f3a49c1a-bfc7-3c35-b278-eeb3f4ed80e3,-9.93961,-37.32765,2023-04-15 16:16:00,Brasil,SERGIPE,PORTO DA FOLHA,Caatinga,2023
1627105936,7f41b10a-50a5-35b5-8cb6-4d39a9392b0e,-9.80489,-37.47765,2023-04-15 16:16:00,Brasil,SERGIPE,PORTO DA FOLHA,Caatinga,2023
1627105937,0774f06c-c9f3-3796-826f-0cf40890ff68,-9.79564,-37.47901,2023-04-15 16:16:00,Brasil,SERGIPE,PORTO DA FOLHA,Caatinga,2023
1627397898,f55259d0-9f41-3336-9c97-3765b787292f,-10.09365,-37.66467,2023-04-17 16:01:00,Brasil,SERGIPE,MONTE ALEGRE DE SERGIPE,Caatinga,2023
1627398238,92258f66-b50e-3fa6-8bea-871b1e3f1c3a,-9.88415,-37.28074,2023-04-17 16:01:00,Brasil,SERGIPE,PORTO DA FOLHA,Caatinga,2023
1627398379,64693cf9-ca2d-3777-9523-3239c0ed439c,-10.00106,-37.38697,2023-04-17 16:01:00,Brasil,SERGIPE,PORTO DA FOLHA,Caatinga,2023
1627506799,8ba7dc62-33ba-3046-8b36-0fff63aa4adf,-9.80874,-37.52853,2023-04-18 16:43:00,Brasil,SERGIPE,POÇO REDONDO,Caatinga,2023
1627629618,bc5833b7-c89a-3228-80cc-b69e9d7f4750,-9.97806,-37.56975,2023-04-19 15:48:00,Brasil,SERGIPE,PORTO DA FOLHA,Caatinga,2023
1627751417,5752e444-4ad5-37a1-bcbc-b7c11abcde58,-10.64638,-37.26897,2023-04-20 16:30:00,Brasil,SERGIPE,MALHADOR,Mata Atlântica,2023
1627751599,0f9d6234-99bc-3d9d-b7f8-7574c9e0aff9,-10.8992,-37.97072,2023-04-20 16:28:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2023
1627751608,be2e59d9-73c5-30be-88e9-9181daf53c3a,-10.94148,-38.00526,2023-04-20 16:28:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2023
1627751640,bb2f72de-bb71-3a82-b6c2-a54f6608a973,-10.94283,-38.01441,2023-04-20 16:28:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2023
1628519405,a0cf0501-e273-391a-b5eb-abaf84b9d83e,-10.45274,-37.33537,2023-04-29 16:18:00,Brasil,SERGIPE,SÃO MIGUEL DO ALEIXO,Caatinga,2023
1629822908,55e8ee60-2998-360c-95b2-88bf85e740f9,-10.93272,-38.07167,2023-05-11 16:30:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2023
1630032952,c8c4f8de-f8c3-32ba-bbf0-d6919add720d,-10.22618,-37.30079,2023-05-13 16:18:00,Brasil,SERGIPE,FEIRA NOVA,Mata Atlântica,2023
1638112940,a1d0cbe8-0695-3560-9e59-ec40691714ac,-9.79547,-37.46587,2023-07-15 16:09:00,Brasil,SERGIPE,PORTO DA FOLHA,Caatinga,2023
1655462114,acbd46a7-8ffc-3cd5-ae64-b73a03c63275,-10.55167,-36.74084,2023-10-10 16:16:00,Brasil,SERGIPE,JAPOATÃ,Mata Atlântica,2023
1655462115,c00966df-b092-3e07-a4ab-40c24006e2ea,-10.55011,-36.72908,2023-10-10 16:16:00,Brasil,SERGIPE,PACATUBA,Mata Atlântica,2023
1655462116,c8c05131-ed3e-3a12-9a27-ecba6ca9a554,-10.54856,-36.71745,2023-10-10 16:16:00,Brasil,SERGIPE,PACATUBA,Mata Atlântica,2023
1655462117,54c7e8b9-e8af-3438-99e4-9c0ae2a04f0c,-10.54158,-36.74223,2023-10-10 16:16:00,Brasil,SERGIPE,JAPOATÃ,Mata Atlântica,2023
1655462118,7e1c1898-4989-38aa-8ae5-1dbbb3a476ee,-10.54104,-36.73687,2023-10-10 16:16:00,Brasil,SERGIPE,JAPOATÃ,Mata Atlântica,2023
1655462119,dbdfdb17-6cad-372a-a37b-f270e6f91437,-10.54003,-36.73049,2023-10-10 16:16:00,Brasil,SERGIPE,PACATUBA,Mata Atlântica,2023
1655462120,afd3b945-1d1f-389d-957a-5d74b8c1655f,-10.53942,-36.7252,2023-10-10 16:16:00,Brasil,SERGIPE,PACATUBA,Mata Atlântica,2023
1656002425,070c85d4-d820-3f43-b480-64779824bb16,-9.8936,-37.52564,2023-10-13 16:41:00,Brasil,SERGIPE,PORTO DA FOLHA,Caatinga,2023
1656318816,d5d22b4f-c085-3c21-8a79-380cada64433,-9.82102,-37.66145,2023-10-15 16:26:00,Brasil,SERGIPE,POÇO REDONDO,Caatinga,2023
1656318817,24a7adc3-2271-3f8e-b285-ce56944d8640,-9.81972,-37.65216,2023-10-15 16:26:00,Brasil,SERGIPE,POÇO REDONDO,Caatinga,2023
1656478176,d3f6bf8d-e0ff-39e2-975f-170266bca1e5,-11.14086,-38.05433,2023-10-16 17:09:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2023
1656478177,267bf112-386f-38a5-8b1d-d8582dcbef91,-11.13849,-38.04693,2023-10-16 17:09:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2023
1656478178,4023633f-7ef6-32f3-9148-01cb5432eec7,-11.13576,-38.02478,2023-10-16 17:09:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2023
1657131241,2b8387ce-7db9-3c64-9f79-14f4cba97f32,-9.88957,-37.28181,2023-10-20 16:39:00,Brasil,SERGIPE,PORTO DA FOLHA,Caatinga,2023
1657441014,7cde18a9-0abf-368b-b6ff-ffe0d414fdf5,-9.90459,-37.37114,2023-10-22 16:24:00,Brasil,SERGIPE,PORTO DA FOLHA,Caatinga,2023
1657441015,f15908cf-166c-34e7-8c39-e20f991784bd,-9.89844,-37.53106,2023-10-22 16:24:00,Brasil,SERGIPE,PORTO DA FOLHA,Caatinga,2023
1657441016,e2b95ac7-a175-3c14-bdc0-ce76f25f5d2b,-9.89708,-37.52122,2023-10-22 16:24:00,Brasil,SERGIPE,PORTO DA FOLHA,Caatinga,2023
1648689896,f15e3050-e1b0-3279-bb30-7f63d6edfd65,-10.39546,-36.90962,2023-09-05 16:26:00,Brasil,SERGIPE,SÃO FRANCISCO,Mata Atlântica,2023
